"Reference","Value","Footprint","Datasheet","Qty","DNP","Exclude from BOM","Exclude from Board"
"D1,D2","1N4007","Diodes_THT:D_DO-41_SOD81_P12.70mm_Horizontal","","2","","",""
"J1","PowerPlug","digikey-footprints:PinHeader_1x2_P2.54mm_Drill1.02mm","https://media.digikey.com/pdf/Data%20Sheets/Molex%20PDFs/A-6373-N_Series_Dwg_2010-12-03.pdf","1","","",""
"J2","WS2812B","digikey-footprints:PinHeader_1x3_P2.54mm_Drill1.02mm","https://www.molex.com/pdm_docs/sd/022232031_sd.pdf","1","","",""
"J3,J4","Buttons","digikey-footprints:PinHeader_1x4_P2.54mm_Drill1.02mm","https://www.molex.com/pdm_docs/sd/022232041_sd.pdf","2","","",""
"J5","PowerOut","digikey-footprints:PinHeader_1x2_P2.54mm_Drill1.02mm","https://media.digikey.com/pdf/Data%20Sheets/Molex%20PDFs/A-6373-N_Series_Dwg_2010-12-03.pdf","1","","",""
"R1,R2","10K","Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","2","","",""
"S1","B3F-1000 (Power)","digikey-footprints:Switch_Tactile_THT_6x6mm","https://omronfs.omron.com/en_US/ecb/products/pdf/en-b3f.pdf","1","","",""
"S2","B3F-1000 (Color)","digikey-footprints:Switch_Tactile_THT_6x6mm","https://omronfs.omron.com/en_US/ecb/products/pdf/en-b3f.pdf","1","","",""
"U1","WeMos_D1_mini","wemos-d1-mini:wemos-d1-mini-with-pin-header-and-connector","https://wiki.wemos.cc/products:d1:d1_mini#documentation","1","","",""
